timestamp,order_id,variant_id,variant_name,symbol,entry_price,tp_price,sl_price,close_price,result,pnl
2025-11-04T02:06:21.036795,test-order-001,var_conservative,Conservative,BTCUSDT,45000.0,45090.0,44662.5,45090.0,WIN,90.0
2025-11-04T02:06:21.037703,test-order-btc-001,var_conservative,Conservative,BTCUSDT,45000.0,45090.0,44662.5,45090.0,WIN,90.0
2025-11-04T02:06:21.039871,test-order-001,var_balanced_low,Balanced-Low,BTCUSDT,45000.0,45134.99999999999,44775.0,45134.99999999999,WIN,134.99999999999272
2025-11-04T02:06:21.040801,test-order-btc-001,var_balanced_low,Balanced-Low,BTCUSDT,45000.0,45134.99999999999,44775.0,45134.99999999999,WIN,134.99999999999272
2025-11-04T02:06:21.042813,test-order-001,var_balanced_high,Balanced-High,BTCUSDT,45000.0,45224.99999999999,44775.0,45224.99999999999,WIN,224.99999999999272
2025-11-04T02:06:21.043415,test-order-btc-001,var_balanced_high,Balanced-High,BTCUSDT,45000.0,45224.99999999999,44775.0,45224.99999999999,WIN,224.99999999999272
2025-11-04T02:06:21.046115,test-order-001,var_aggressive_tight,Aggressive-Tight,BTCUSDT,45000.0,45270.0,44820.0,45270.0,WIN,270.0
2025-11-04T02:06:21.046787,test-order-btc-001,var_aggressive_tight,Aggressive-Tight,BTCUSDT,45000.0,45270.0,44820.0,45270.0,WIN,270.0
2025-11-04T02:06:21.049197,test-order-001,var_scalp,Scalp,BTCUSDT,45000.0,45337.5,44887.5,45337.5,WIN,337.5
2025-11-04T02:06:21.050250,test-order-btc-001,var_scalp,Scalp,BTCUSDT,45000.0,45337.5,44887.5,45337.5,WIN,337.5
2025-11-04T02:06:21.053766,test-order-002,var_scalp,Scalp,ETHUSDT,2800.0,2821.0,2793.0,2793.0,LOSS,-7.0
2025-11-04T02:06:21.054432,test-order-eth-001,var_scalp,Scalp,ETHUSDT,2800.0,2821.0,2793.0,2793.0,LOSS,-7.0
2025-11-04T02:06:21.056543,test-order-002,var_aggressive_tight,Aggressive-Tight,ETHUSDT,2800.0,2816.8,2788.8,2788.8,LOSS,-11.199999999999818
2025-11-04T02:06:21.057073,test-order-eth-001,var_aggressive_tight,Aggressive-Tight,ETHUSDT,2800.0,2816.8,2788.8,2788.8,LOSS,-11.199999999999818
2025-11-04T02:06:21.059336,test-order-002,var_balanced_low,Balanced-Low,ETHUSDT,2800.0,2808.3999999999996,2786.0,2786.0,LOSS,-14.0
2025-11-04T02:06:21.059950,test-order-002,var_balanced_high,Balanced-High,ETHUSDT,2800.0,2813.9999999999995,2786.0,2786.0,LOSS,-14.0
2025-11-04T02:06:21.060468,test-order-eth-001,var_balanced_low,Balanced-Low,ETHUSDT,2800.0,2808.3999999999996,2786.0,2786.0,LOSS,-14.0
2025-11-04T02:06:21.061067,test-order-eth-001,var_balanced_high,Balanced-High,ETHUSDT,2800.0,2813.9999999999995,2786.0,2786.0,LOSS,-14.0
2025-11-04T02:06:21.063423,test-order-002,var_conservative,Conservative,ETHUSDT,2800.0,2805.6,2779.0,2779.0,LOSS,-21.0
2025-11-04T02:06:21.064032,test-order-eth-001,var_conservative,Conservative,ETHUSDT,2800.0,2805.6,2779.0,2779.0,LOSS,-21.0
